,Insurer,FY,Category,Gross Premium,Net Premium
50,AIA International,2018,Proportional Treaty Reinsurance,0,0
51,AIA International,2018,Total,1421797,1148533
52,AIG Insurance HK,2018,Accident & Health,320110,140377
53,AIG Insurance HK,2018,Motor Vehicle,138854,53754
54,AIG Insurance HK,2018,Aircraft,0,0
55,AIG Insurance HK,2018,Ships,1385,612
56,AIG Insurance HK,2018,Goods in Transit,20748,8447
57,AIG Insurance HK,2018,Property Damage,224483,69065
58,AIG Insurance HK,2018,Employees Compensation,513737,224001
59,AIG Insurance HK,2018,Owners Corporation Liability,173,78
60,AIG Insurance HK,2018,Other Business,173729,68913
61,AIG Insurance HK,2018,Pecuniary Loss,380229,156138
62,AIG Insurance HK,2018,Non-Proportional Treaty Reinsurance,0,0
63,AIG Insurance HK,2018,Proportional Treaty Reinsurance,0,0
64,AIG Insurance HK,2018,Total,1773448,721385
65,AGCS SE,2018,Accident & Health,12505,2947
66,AGCS SE,2018,Motor Vehicle,211094,0
67,AGCS SE,2018,Aircraft,226,0
68,AGCS SE,2018,Ships,2122,2122
69,AGCS SE,2018,Goods in Transit,9029,7586
70,AGCS SE,2018,Property Damage,239695,148196
71,AGCS SE,2018,Employees Compensation,130159,129866
72,AGCS SE,2018,Owners Corporation Liability,147,147
73,AGCS SE,2018,Other Business,292396,251193
74,AGCS SE,2018,Pecuniary Loss,28505,19442
75,AGCS SE,2018,Non-Proportional Treaty Reinsurance,0,0
76,AGCS SE,2018,Proportional Treaty Reinsurance,0,0
77,AGCS SE,2018,Total,925878,561499
78,Allied World,2018,Accident & Health,78516,76697
79,Allied World,2018,Motor Vehicle,267642,186226
80,Allied World,2018,Aircraft,17,17
81,Allied World,2018,Ships,235,106
82,Allied World,2018,Goods in Transit,68168,64131
83,Allied World,2018,Property Damage,229162,135605
84,Allied World,2018,Employees Compensation,182665,177525
85,Allied World,2018,Owners Corporation Liability,64,64
86,Allied World,2018,Other Business,165459,92224
87,Allied World,2018,Pecuniary Loss,12518,8321
88,Allied World,2018,Non-Proportional Treaty Reinsurance,0,0
89,Allied World,2018,Proportional Treaty Reinsurance,0,0
90,Allied World,2018,Total,1004446,740916
91,Arch MI Asia,2018,Accident & Health,0,0
92,Arch MI Asia,2018,Motor Vehicle,0,0
93,Arch MI Asia,2018,Aircraft,0,0
94,Arch MI Asia,2018,Ships,0,0
95,Arch MI Asia,2018,Goods in Transit,0,0
96,Arch MI Asia,2018,Property Damage,0,0
97,Arch MI Asia,2018,Employees Compensation,0,0
98,Arch MI Asia,2018,Owners Corporation Liability,0,0
99,Arch MI Asia,2018,Other Business,0,0
100,Arch MI Asia,2018,Pecuniary Loss,16417,16417
101,Arch MI Asia,2018,Non-Proportional Treaty Reinsurance,0,0
102,Arch MI Asia,2018,Proportional Treaty Reinsurance,0,0
103,Arch MI Asia,2018,Total,16417,16417
104,Asia Capital Re,2018,Accident & Health,0,0
105,Asia Capital Re,2018,Motor Vehicle,0,-478
106,Asia Capital Re,2018,Aircraft,0,0
107,Asia Capital Re,2018,Ships,26544,24860
108,Asia Capital Re,2018,Goods in Transit,-1839,-1046
109,Asia Capital Re,2018,Property Damage,182183,165054
110,Asia Capital Re,2018,Employees Compensation,0,0
111,Asia Capital Re,2018,Owners Corporation Liability,0,0
112,Asia Capital Re,2018,Other Business,9243,9325
113,Asia Capital Re,2018,Pecuniary Loss,152,151
114,Asia Capital Re,2018,Non-Proportional Treaty Reinsurance,0,0
115,Asia Capital Re,2018,Proportional Treaty Reinsurance,0,0
116,Asia Capital Re,2018,Total,216283,197866
117,Asia Insurance,2018,Accident & Health,145298,89932
118,Asia Insurance,2018,Motor Vehicle,206375,134636
119,Asia Insurance,2018,Aircraft,1861,1861
120,Asia Insurance,2018,Ships,16626,9928
121,Asia Insurance,2018,Goods in Transit,16468,11001
122,Asia Insurance,2018,Property Damage,418256,221262
123,Asia Insurance,2018,Employees Compensation,398715,340895
124,Asia Insurance,2018,Owners Corporation Liability,3750,1483
125,Asia Insurance,2018,Other Business,192603,99735
126,Asia Insurance,2018,Pecuniary Loss,42123,28720
127,Asia Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
128,Asia Insurance,2018,Proportional Treaty Reinsurance,0,0
129,Asia Insurance,2018,Total,1442075,939453
130,ASIA-PACIFIC P&C,2018,Accident & Health,2736,997
131,ASIA-PACIFIC P&C,2018,Motor Vehicle,0,0
132,ASIA-PACIFIC P&C,2018,Aircraft,0,0
133,ASIA-PACIFIC P&C,2018,Ships,0,-10
134,ASIA-PACIFIC P&C,2018,Goods in Transit,83,53
135,ASIA-PACIFIC P&C,2018,Property Damage,16126,8113
136,ASIA-PACIFIC P&C,2018,Employees Compensation,0,0
137,ASIA-PACIFIC P&C,2018,Owners Corporation Liability,0,0
138,ASIA-PACIFIC P&C,2018,Other Business,1139,990
139,ASIA-PACIFIC P&C,2018,Pecuniary Loss,243,6
140,ASIA-PACIFIC P&C,2018,Non-Proportional Treaty Reinsurance,0,0
141,ASIA-PACIFIC P&C,2018,Proportional Treaty Reinsurance,0,0
142,ASIA-PACIFIC P&C,2018,Total,20327,10149
143,Generali,2018,Accident & Health,894264,884887
144,Generali,2018,Motor Vehicle,67,-20
145,Generali,2018,Aircraft,0,0
146,Generali,2018,Ships,21804,21208
147,Generali,2018,Goods in Transit,37252,33913
148,Generali,2018,Property Damage,341142,305576
149,Generali,2018,Employees Compensation,109593,37899
150,Generali,2018,Owners Corporation Liability,1,1
151,Generali,2018,Other Business,153456,141277
152,Generali,2018,Pecuniary Loss,46325,40565
153,Generali,2018,Non-Proportional Treaty Reinsurance,0,0
154,Generali,2018,Proportional Treaty Reinsurance,0,0
155,Generali,2018,Total,1603904,1465306
156,Gard P&I,2018,Accident & Health,0,0
157,Gard P&I,2018,Motor Vehicle,0,0
158,Gard P&I,2018,Aircraft,0,0
159,Gard P&I,2018,Ships,284871,143180
160,Gard P&I,2018,Goods in Transit,0,0
161,Gard P&I,2018,Property Damage,0,0
162,Gard P&I,2018,Employees Compensation,0,0
163,Gard P&I,2018,Owners Corporation Liability,0,0
164,Gard P&I,2018,Other Business,0,0
165,Gard P&I,2018,Pecuniary Loss,0,0
166,Gard P&I,2018,Non-Proportional Treaty Reinsurance,0,0
167,Gard P&I,2018,Proportional Treaty Reinsurance,0,0
168,Gard P&I,2018,Total,284871,143180
169,Skuld,2018,Accident & Health,0,0
170,Skuld,2018,Motor Vehicle,0,0
171,Skuld,2018,Aircraft,0,0
172,Skuld,2018,Ships,357133,108140
173,Skuld,2018,Goods in Transit,0,0
174,Skuld,2018,Property Damage,0,0
175,Skuld,2018,Employees Compensation,0,0
176,Skuld,2018,Owners Corporation Liability,0,0
177,Skuld,2018,Other Business,0,0
178,Skuld,2018,Pecuniary Loss,0,0
179,Skuld,2018,Non-Proportional Treaty Reinsurance,0,0
180,Skuld,2018,Proportional Treaty Reinsurance,0,0
181,Skuld,2018,Total,357133,108140
182,ACyC,2018,Accident & Health,0,0
183,ACyC,2018,Motor Vehicle,0,0
184,ACyC,2018,Aircraft,0,0
185,ACyC,2018,Ships,0,0
186,ACyC,2018,Goods in Transit,0,0
187,ACyC,2018,Property Damage,0,0
188,ACyC,2018,Employees Compensation,0,0
189,ACyC,2018,Owners Corporation Liability,0,0
190,ACyC,2018,Other Business,0,0
191,ACyC,2018,Pecuniary Loss,84981,26146
192,ACyC,2018,Non-Proportional Treaty Reinsurance,0,0
193,ACyC,2018,Proportional Treaty Reinsurance,0,0
194,ACyC,2018,Total,84981,26146
195,AXA China (Bermuda),2018,Accident & Health,27,27
196,AXA China (Bermuda),2018,Motor Vehicle,-2,-1
197,AXA China (Bermuda),2018,Aircraft,0,0
198,AXA China (Bermuda),2018,Ships,0,0
199,AXA China (Bermuda),2018,Goods in Transit,0,0
200,AXA China (Bermuda),2018,Property Damage,60,60
201,AXA China (Bermuda),2018,Employees Compensation,1,1
202,AXA China (Bermuda),2018,Owners Corporation Liability,1,1
203,AXA China (Bermuda),2018,Other Business,5,5
204,AXA China (Bermuda),2018,Pecuniary Loss,0,0
205,AXA China (Bermuda),2018,Non-Proportional Treaty Reinsurance,0,0
206,AXA China (Bermuda),2018,Proportional Treaty Reinsurance,0,0
207,AXA China (Bermuda),2018,Total,92,93
208,AXA China (HK),2018,Accident & Health,1135438,711751
209,AXA China (HK),2018,Motor Vehicle,0,0
210,AXA China (HK),2018,Aircraft,0,0
211,AXA China (HK),2018,Ships,0,0
212,AXA China (HK),2018,Goods in Transit,0,0
213,AXA China (HK),2018,Property Damage,0,0
214,AXA China (HK),2018,Employees Compensation,0,0
215,AXA China (HK),2018,Owners Corporation Liability,0,0
216,AXA China (HK),2018,Other Business,0,0
217,AXA China (HK),2018,Pecuniary Loss,0,0
218,AXA China (HK),2018,Non-Proportional Treaty Reinsurance,0,0
219,AXA China (HK),2018,Proportional Treaty Reinsurance,0,0
220,AXA China (HK),2018,Total,1135438,711751
221,AXA CS,2018,Accident & Health,0,0
222,AXA CS,2018,Motor Vehicle,0,0
223,AXA CS,2018,Aircraft,0,0
224,AXA CS,2018,Ships,64334,60237
225,AXA CS,2018,Goods in Transit,161535,97074
226,AXA CS,2018,Property Damage,47838,26844
227,AXA CS,2018,Employees Compensation,0,0
228,AXA CS,2018,Owners Corporation Liability,0,0
229,AXA CS,2018,Other Business,6069,2828
230,AXA CS,2018,Pecuniary Loss,0,0
231,AXA CS,2018,Non-Proportional Treaty Reinsurance,0,0
232,AXA CS,2018,Proportional Treaty Reinsurance,0,0
233,AXA CS,2018,Total,279776,186983
234,AXA General,2018,Accident & Health,2034085,1563082
235,AXA General,2018,Motor Vehicle,405064,398753
236,AXA General,2018,Aircraft,0,0
237,AXA General,2018,Ships,19030,12329
238,AXA General,2018,Goods in Transit,84621,71605
239,AXA General,2018,Property Damage,723787,393399
240,AXA General,2018,Employees Compensation,496843,487345
241,AXA General,2018,Owners Corporation Liability,1497,1473
242,AXA General,2018,Other Business,152510,160526
243,AXA General,2018,Pecuniary Loss,15997,5881
244,AXA General,2018,Non-Proportional Treaty Reinsurance,0,0
245,AXA General,2018,Proportional Treaty Reinsurance,0,0
246,AXA General,2018,Total,3933434,3094393
247,AXA Life,2018,Accident & Health,0,0
248,AXA Life,2018,Motor Vehicle,0,0
249,AXA Life,2018,Aircraft,0,0
250,AXA Life,2018,Ships,0,0
251,AXA Life,2018,Goods in Transit,0,0
252,AXA Life,2018,Property Damage,0,0
253,AXA Life,2018,Employees Compensation,0,0
254,AXA Life,2018,Owners Corporation Liability,0,0
255,AXA Life,2018,Other Business,0,0
256,AXA Life,2018,Pecuniary Loss,0,0
257,AXA Life,2018,Non-Proportional Treaty Reinsurance,0,0
258,AXA Life,2018,Proportional Treaty Reinsurance,0,0
259,AXA Life,2018,Total,0,0
260,BOC Group Insurance,2018,Accident & Health,676346,491021
261,BOC Group Insurance,2018,Motor Vehicle,287934,279648
262,BOC Group Insurance,2018,Aircraft,2717,2511
263,BOC Group Insurance,2018,Ships,78518,42220
264,BOC Group Insurance,2018,Goods in Transit,19325,16335
265,BOC Group Insurance,2018,Property Damage,341800,204699
266,BOC Group Insurance,2018,Employees Compensation,328127,302016
267,BOC Group Insurance,2018,Owners Corporation Liability,2431,2276
268,BOC Group Insurance,2018,Other Business,110017,86583
269,BOC Group Insurance,2018,Pecuniary Loss,35399,25976
270,BOC Group Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
271,BOC Group Insurance,2018,Proportional Treaty Reinsurance,0,0
272,BOC Group Insurance,2018,Total,1882614,1453285
273,BC Re,2018,Accident & Health,885,850
274,BC Re,2018,Motor Vehicle,3909,3909
275,BC Re,2018,Aircraft,0,0
276,BC Re,2018,Ships,159,159
277,BC Re,2018,Goods in Transit,81,74
278,BC Re,2018,Property Damage,7534,5470
279,BC Re,2018,Employees Compensation,0,0
280,BC Re,2018,Owners Corporation Liability,0,0
281,BC Re,2018,Other Business,19216,17839
282,BC Re,2018,Pecuniary Loss,1702,1623
283,BC Re,2018,Non-Proportional Treaty Reinsurance,35347,28443
284,BC Re,2018,Proportional Treaty Reinsurance,55654,48792
285,BC Re,2018,Total,124487,107159
286,BE Re,2018,Accident & Health,883,877
287,BE Re,2018,Motor Vehicle,979,961
288,BE Re,2018,Aircraft,0,0
289,BE Re,2018,Ships,161,161
290,BE Re,2018,Goods in Transit,84,75
291,BE Re,2018,Property Damage,11236,10062
292,BE Re,2018,Employees Compensation,0,0
293,BE Re,2018,Owners Corporation Liability,0,0
294,BE Re,2018,Other Business,12773,12659
295,BE Re,2018,Pecuniary Loss,1623,1623
296,BE Re,2018,Non-Proportional Treaty Reinsurance,25768,23777
297,BE Re,2018,Proportional Treaty Reinsurance,58403,55348
298,BE Re,2018,Total,111910,105543
299,Berkley Insurance,2018,Accident & Health,3284,2960
300,Berkley Insurance,2018,Motor Vehicle,3303,3030
301,Berkley Insurance,2018,Aircraft,0,0
302,Berkley Insurance,2018,Ships,378,168
303,Berkley Insurance,2018,Goods in Transit,7208,2632
304,Berkley Insurance,2018,Property Damage,4206,3997
305,Berkley Insurance,2018,Employees Compensation,0,0
306,Berkley Insurance,2018,Owners Corporation Liability,0,0
307,Berkley Insurance,2018,Other Business,84661,76657
308,Berkley Insurance,2018,Pecuniary Loss,997,852
309,Berkley Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
310,Berkley Insurance,2018,Proportional Treaty Reinsurance,0,0
311,Berkley Insurance,2018,Total,104037,90296
312,BHSI,2018,Accident & Health,28143,5502
313,BHSI,2018,Motor Vehicle,21619,4270
314,BHSI,2018,Aircraft,0,0
315,BHSI,2018,Ships,0,0
316,BHSI,2018,Goods in Transit,5898,1157
317,BHSI,2018,Property Damage,62945,12336
318,BHSI,2018,Employees Compensation,130433,25419
319,BHSI,2018,Owners Corporation Liability,0,0
320,BHSI,2018,Other Business,22513,4452
321,BHSI,2018,Pecuniary Loss,75012,14749
322,BHSI,2018,Non-Proportional Treaty Reinsurance,0,0
323,BHSI,2018,Proportional Treaty Reinsurance,0,0
324,BHSI,2018,Total,346563,67885
325,Blue Cross,2018,Accident & Health,1199592,1165592
326,Blue Cross,2018,Motor Vehicle,2407,215
327,Blue Cross,2018,Aircraft,0,0
328,Blue Cross,2018,Ships,63,0
329,Blue Cross,2018,Goods in Transit,183,124
330,Blue Cross,2018,Property Damage,70314,55737
331,Blue Cross,2018,Employees Compensation,49718,45009
332,Blue Cross,2018,Owners Corporation Liability,116,105
333,Blue Cross,2018,Other Business,19698,17389
334,Blue Cross,2018,Pecuniary Loss,7578,7228
335,Blue Cross,2018,Non-Proportional Treaty Reinsurance,0,0
336,Blue Cross,2018,Proportional Treaty Reinsurance,0,0
337,Blue Cross,2018,Total,1349669,1291399
338,Bupa,2018,Accident & Health,3529856,2963757
339,Bupa,2018,Motor Vehicle,0,0
340,Bupa,2018,Aircraft,0,0
341,Bupa,2018,Ships,0,0
342,Bupa,2018,Goods in Transit,0,0
343,Bupa,2018,Property Damage,0,0
344,Bupa,2018,Employees Compensation,0,0
345,Bupa,2018,Owners Corporation Liability,0,0
346,Bupa,2018,Other Business,0,0
347,Bupa,2018,Pecuniary Loss,0,0
348,Bupa,2018,Non-Proportional Treaty Reinsurance,0,0
349,Bupa,2018,Proportional Treaty Reinsurance,0,0
350,Bupa,2018,Total,3529856,2963757
351,California Insurance,2018,Accident & Health,12165,11623
352,California Insurance,2018,Motor Vehicle,4289,3769
353,California Insurance,2018,Aircraft,0,0
354,California Insurance,2018,Ships,0,0
355,California Insurance,2018,Goods in Transit,492,139
356,California Insurance,2018,Property Damage,1355,1092
357,California Insurance,2018,Employees Compensation,26627,23371
358,California Insurance,2018,Owners Corporation Liability,109,7
359,California Insurance,2018,Other Business,4749,740
360,California Insurance,2018,Pecuniary Loss,1561,1455
361,California Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
362,California Insurance,2018,Proportional Treaty Reinsurance,0,0
363,California Insurance,2018,Total,51347,42196
364,CGN Captive,2018,Accident & Health,0,0
365,CGN Captive,2018,Motor Vehicle,0,0
366,CGN Captive,2018,Aircraft,0,0
367,CGN Captive,2018,Ships,0,0
368,CGN Captive,2018,Goods in Transit,28826,7083
369,CGN Captive,2018,Property Damage,204804,112068
370,CGN Captive,2018,Employees Compensation,0,0
371,CGN Captive,2018,Owners Corporation Liability,0,0
372,CGN Captive,2018,Other Business,11467,11467
373,CGN Captive,2018,Pecuniary Loss,0,0
374,CGN Captive,2018,Non-Proportional Treaty Reinsurance,0,0
375,CGN Captive,2018,Proportional Treaty Reinsurance,0,0
376,CGN Captive,2018,Total,245097,130618
377,Chevalier,2018,Accident & Health,79,32
378,Chevalier,2018,Motor Vehicle,666,618
379,Chevalier,2018,Aircraft,0,0
380,Chevalier,2018,Ships,0,0
381,Chevalier,2018,Goods in Transit,131,54
382,Chevalier,2018,Property Damage,22120,18758
383,Chevalier,2018,Employees Compensation,42532,31019
384,Chevalier,2018,Owners Corporation Liability,5,5
385,Chevalier,2018,Other Business,3520,1061
386,Chevalier,2018,Pecuniary Loss,1329,1281
387,Chevalier,2018,Non-Proportional Treaty Reinsurance,0,0
388,Chevalier,2018,Proportional Treaty Reinsurance,0,0
389,Chevalier,2018,Total,70382,52828
390,China BOCOM,2018,Accident & Health,47094,1996
391,China BOCOM,2018,Motor Vehicle,1313,635
392,China BOCOM,2018,Aircraft,0,0
393,China BOCOM,2018,Ships,1911,132
394,China BOCOM,2018,Goods in Transit,758,349
395,China BOCOM,2018,Property Damage,64136,23719
396,China BOCOM,2018,Employees Compensation,13281,6157
397,China BOCOM,2018,Owners Corporation Liability,246,39
398,China BOCOM,2018,Other Business,25703,2135
399,China BOCOM,2018,Pecuniary Loss,14075,5245
400,China BOCOM,2018,Non-Proportional Treaty Reinsurance,0,0
401,China BOCOM,2018,Proportional Treaty Reinsurance,0,0
402,China BOCOM,2018,Total,168517,40407
403,China Merchants,2018,Accident & Health,53724,52885
404,China Merchants,2018,Motor Vehicle,25109,23444
405,China Merchants,2018,Aircraft,0,0
406,China Merchants,2018,Ships,19933,4467
407,China Merchants,2018,Goods in Transit,5241,3612
408,China Merchants,2018,Property Damage,32606,15317
409,China Merchants,2018,Employees Compensation,22918,20454
410,China Merchants,2018,Owners Corporation Liability,783,714
411,China Merchants,2018,Other Business,17015,12502
412,China Merchants,2018,Pecuniary Loss,55,41
413,China Merchants,2018,Non-Proportional Treaty Reinsurance,0,0
414,China Merchants,2018,Proportional Treaty Reinsurance,0,0
415,China Merchants,2018,Total,177384,133436
416,China Overseas Insurance,2018,Accident & Health,0,0
417,China Overseas Insurance,2018,Motor Vehicle,1986,1807
418,China Overseas Insurance,2018,Aircraft,0,0
419,China Overseas Insurance,2018,Ships,0,0
420,China Overseas Insurance,2018,Goods in Transit,0,0
421,China Overseas Insurance,2018,Property Damage,19433,173
422,China Overseas Insurance,2018,Employees Compensation,151310,137859
423,China Overseas Insurance,2018,Owners Corporation Liability,0,0
424,China Overseas Insurance,2018,Other Business,16939,6601
425,China Overseas Insurance,2018,Pecuniary Loss,5121,5121
426,China Overseas Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
427,China Overseas Insurance,2018,Proportional Treaty Reinsurance,0,0
428,China Overseas Insurance,2018,Total,194789,151561
429,China Pacific,2018,Accident & Health,2644,2022
430,China Pacific,2018,Motor Vehicle,35827,31224
431,China Pacific,2018,Aircraft,29626,2193
432,China Pacific,2018,Ships,871,871
433,China Pacific,2018,Goods in Transit,20484,1057
434,China Pacific,2018,Property Damage,48175,10257
435,China Pacific,2018,Employees Compensation,10613,8849
436,China Pacific,2018,Owners Corporation Liability,2460,739
437,China Pacific,2018,Other Business,25771,10974
438,China Pacific,2018,Pecuniary Loss,474,201
439,China Pacific,2018,Non-Proportional Treaty Reinsurance,0,0
440,China Pacific,2018,Proportional Treaty Reinsurance,0,0
441,China Pacific,2018,Total,176945,68387
442,China Ping An,2018,Accident & Health,6325,3808
443,China Ping An,2018,Motor Vehicle,184036,135480
444,China Ping An,2018,Aircraft,0,0
445,China Ping An,2018,Ships,1479,73
446,China Ping An,2018,Goods in Transit,4143,468
447,China Ping An,2018,Property Damage,90811,31298
448,China Ping An,2018,Employees Compensation,49592,45398
449,China Ping An,2018,Owners Corporation Liability,3241,2983
450,China Ping An,2018,Other Business,48895,34927
451,China Ping An,2018,Pecuniary Loss,2245,225
452,China Ping An,2018,Non-Proportional Treaty Reinsurance,0,0
453,China Ping An,2018,Proportional Treaty Reinsurance,0,0
454,China Ping An,2018,Total,390767,254660
455,CTPI(HK),2018,Accident & Health,228285,199500
456,CTPI(HK),2018,Motor Vehicle,1611031,1098141
457,CTPI(HK),2018,Aircraft,77353,6489
458,CTPI(HK),2018,Ships,165520,68431
459,CTPI(HK),2018,Goods in Transit,34634,20738
460,CTPI(HK),2018,Property Damage,556234,99669
461,CTPI(HK),2018,Employees Compensation,380450,333793
462,CTPI(HK),2018,Owners Corporation Liability,985,912
463,CTPI(HK),2018,Other Business,135074,94567
464,CTPI(HK),2018,Pecuniary Loss,6328,3957
465,CTPI(HK),2018,Non-Proportional Treaty Reinsurance,0,0
466,CTPI(HK),2018,Proportional Treaty Reinsurance,0,0
467,CTPI(HK),2018,Total,3195894,1926197
468,Chong Hing,2018,Accident & Health,1243,848
469,Chong Hing,2018,Motor Vehicle,2516,2202
470,Chong Hing,2018,Aircraft,0,0
471,Chong Hing,2018,Ships,122,42
472,Chong Hing,2018,Goods in Transit,1316,906
473,Chong Hing,2018,Property Damage,19335,12585
474,Chong Hing,2018,Employees Compensation,7580,5928
475,Chong Hing,2018,Owners Corporation Liability,146,112
476,Chong Hing,2018,Other Business,4999,4183
477,Chong Hing,2018,Pecuniary Loss,317,144
478,Chong Hing,2018,Non-Proportional Treaty Reinsurance,0,0
479,Chong Hing,2018,Proportional Treaty Reinsurance,0,0
480,Chong Hing,2018,Total,37574,26950
481,Chubb Insurance,2018,Accident & Health,335190,91692
482,Chubb Insurance,2018,Motor Vehicle,82,0
483,Chubb Insurance,2018,Aircraft,0,0
484,Chubb Insurance,2018,Ships,35606,30657
485,Chubb Insurance,2018,Goods in Transit,49535,30722
486,Chubb Insurance,2018,Property Damage,302475,83125
487,Chubb Insurance,2018,Employees Compensation,102298,79911
488,Chubb Insurance,2018,Owners Corporation Liability,18,18
489,Chubb Insurance,2018,Other Business,639665,409843
490,Chubb Insurance,2018,Pecuniary Loss,0,0
491,Chubb Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
492,Chubb Insurance,2018,Proportional Treaty Reinsurance,0,0
493,Chubb Insurance,2018,Total,1464869,725968
494,CIGNA Worldwide General,2018,Accident & Health,794076,788759
495,CIGNA Worldwide General,2018,Motor Vehicle,0,0
496,CIGNA Worldwide General,2018,Aircraft,0,0
497,CIGNA Worldwide General,2018,Ships,0,0
498,CIGNA Worldwide General,2018,Goods in Transit,0,0
499,CIGNA Worldwide General,2018,Property Damage,0,0
500,CIGNA Worldwide General,2018,Employees Compensation,0,0
501,CIGNA Worldwide General,2018,Owners Corporation Liability,0,0
502,CIGNA Worldwide General,2018,Other Business,0,0
503,CIGNA Worldwide General,2018,Pecuniary Loss,0,0
504,CIGNA Worldwide General,2018,Non-Proportional Treaty Reinsurance,0,0
505,CIGNA Worldwide General,2018,Proportional Treaty Reinsurance,0,0
506,CIGNA Worldwide General,2018,Total,794076,788759
507,CMBWL,2018,Accident & Health,38623,34025
508,CMBWL,2018,Motor Vehicle,132160,106280
509,CMBWL,2018,Aircraft,0,0
510,CMBWL,2018,Ships,8673,1519
511,CMBWL,2018,Goods in Transit,1162,468
512,CMBWL,2018,Property Damage,64799,34923
513,CMBWL,2018,Employees Compensation,279126,261798
514,CMBWL,2018,Owners Corporation Liability,1450,1362
515,CMBWL,2018,Other Business,66577,53573
516,CMBWL,2018,Pecuniary Loss,12542,2908
517,CMBWL,2018,Non-Proportional Treaty Reinsurance,0,0
518,CMBWL,2018,Proportional Treaty Reinsurance,0,0
519,CMBWL,2018,Total,605112,496856
520,CNOOC Insurance,2018,Accident & Health,1721,1721
521,CNOOC Insurance,2018,Motor Vehicle,0,0
522,CNOOC Insurance,2018,Aircraft,0,0
523,CNOOC Insurance,2018,Ships,121068,59116
524,CNOOC Insurance,2018,Goods in Transit,0,0
525,CNOOC Insurance,2018,Property Damage,533206,153600
526,CNOOC Insurance,2018,Employees Compensation,0,0
527,CNOOC Insurance,2018,Owners Corporation Liability,0,0
528,CNOOC Insurance,2018,Other Business,0,0
529,CNOOC Insurance,2018,Pecuniary Loss,0,0
530,CNOOC Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
531,CNOOC Insurance,2018,Proportional Treaty Reinsurance,0,0
532,CNOOC Insurance,2018,Total,655995,214437
533,COFACE,2018,Accident & Health,0,0
534,COFACE,2018,Motor Vehicle,0,0
535,COFACE,2018,Aircraft,0,0
536,COFACE,2018,Ships,0,0
537,COFACE,2018,Goods in Transit,0,0
538,COFACE,2018,Property Damage,0,0
539,COFACE,2018,Employees Compensation,0,0
540,COFACE,2018,Owners Corporation Liability,0,0
541,COFACE,2018,Other Business,0,0
542,COFACE,2018,Pecuniary Loss,544127,399390
543,COFACE,2018,Non-Proportional Treaty Reinsurance,0,0
544,COFACE,2018,Proportional Treaty Reinsurance,0,0
545,COFACE,2018,Total,544127,399390
546,Concord,2018,Accident & Health,1051,1004
