,Insurer,FY,Category,Gross Claims Paid,Net Claims Paid
64,AIG Insurance HK,2018,Total,679053,338890
65,AGCS SE,2018,Accident & Health,836,119
66,AGCS SE,2018,Motor Vehicle,153648,591
67,AGCS SE,2018,Aircraft,81,61
68,AGCS SE,2018,Ships,579,551
69,AGCS SE,2018,Goods in Transit,563,296
70,AGCS SE,2018,Property Damage,71784,68928
71,AGCS SE,2018,Employees Compensation,37829,37270
72,AGCS SE,2018,Owners Corporation Liability,0,0
73,AGCS SE,2018,Other Business,68794,66905
74,AGCS SE,2018,Pecuniary Loss,1952,1627
75,AGCS SE,2018,Non-Proportional Treaty Reinsurance,0,0
76,AGCS SE,2018,Proportional Treaty Reinsurance,0,0
77,AGCS SE,2018,Total,336066,176348
78,Allied World,2018,Accident & Health,30770,30770
79,Allied World,2018,Motor Vehicle,196199,156801
80,Allied World,2018,Aircraft,0,0
81,Allied World,2018,Ships,407,143
82,Allied World,2018,Goods in Transit,27843,27452
83,Allied World,2018,Property Damage,353757,155936
84,Allied World,2018,Employees Compensation,234262,232690
85,Allied World,2018,Owners Corporation Liability,0,0
86,Allied World,2018,Other Business,75322,62141
87,Allied World,2018,Pecuniary Loss,2659,2655
88,Allied World,2018,Non-Proportional Treaty Reinsurance,0,0
89,Allied World,2018,Proportional Treaty Reinsurance,0,0
90,Allied World,2018,Total,921219,668588
91,Arch MI Asia,2018,Accident & Health,0,0
92,Arch MI Asia,2018,Motor Vehicle,0,0
93,Arch MI Asia,2018,Aircraft,0,0
94,Arch MI Asia,2018,Ships,0,0
95,Arch MI Asia,2018,Goods in Transit,0,0
96,Arch MI Asia,2018,Property Damage,0,0
97,Arch MI Asia,2018,Employees Compensation,0,0
98,Arch MI Asia,2018,Owners Corporation Liability,0,0
99,Arch MI Asia,2018,Other Business,0,0
100,Arch MI Asia,2018,Pecuniary Loss,313,-350
101,Arch MI Asia,2018,Non-Proportional Treaty Reinsurance,0,0
102,Arch MI Asia,2018,Proportional Treaty Reinsurance,0,0
103,Arch MI Asia,2018,Total,313,-350
104,Asia Capital Re,2018,Accident & Health,0,0
105,Asia Capital Re,2018,Motor Vehicle,170,102
106,Asia Capital Re,2018,Aircraft,0,0
107,Asia Capital Re,2018,Ships,29729,19826
108,Asia Capital Re,2018,Goods in Transit,5310,4072
109,Asia Capital Re,2018,Property Damage,186481,94333
110,Asia Capital Re,2018,Employees Compensation,0,0
111,Asia Capital Re,2018,Owners Corporation Liability,0,0
112,Asia Capital Re,2018,Other Business,131705,80306
113,Asia Capital Re,2018,Pecuniary Loss,0,0
114,Asia Capital Re,2018,Non-Proportional Treaty Reinsurance,0,0
115,Asia Capital Re,2018,Proportional Treaty Reinsurance,0,0
116,Asia Capital Re,2018,Total,353395,198639
117,Asia Insurance,2018,Accident & Health,87489,60161
118,Asia Insurance,2018,Motor Vehicle,130731,78918
119,Asia Insurance,2018,Aircraft,1655,1655
120,Asia Insurance,2018,Ships,5536,3364
121,Asia Insurance,2018,Goods in Transit,3398,2851
122,Asia Insurance,2018,Property Damage,374669,89162
123,Asia Insurance,2018,Employees Compensation,168439,135871
124,Asia Insurance,2018,Owners Corporation Liability,935,57
125,Asia Insurance,2018,Other Business,40319,17005
126,Asia Insurance,2018,Pecuniary Loss,255,99
127,Asia Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
128,Asia Insurance,2018,Proportional Treaty Reinsurance,0,0
129,Asia Insurance,2018,Total,813426,389143
130,ASIA-PACIFIC P&C,2018,Accident & Health,4879,1630
131,ASIA-PACIFIC P&C,2018,Motor Vehicle,0,0
132,ASIA-PACIFIC P&C,2018,Aircraft,0,0
133,ASIA-PACIFIC P&C,2018,Ships,0,0
134,ASIA-PACIFIC P&C,2018,Goods in Transit,-71,-77
135,ASIA-PACIFIC P&C,2018,Property Damage,7713,4392
136,ASIA-PACIFIC P&C,2018,Employees Compensation,0,0
137,ASIA-PACIFIC P&C,2018,Owners Corporation Liability,0,0
138,ASIA-PACIFIC P&C,2018,Other Business,780,598
139,ASIA-PACIFIC P&C,2018,Pecuniary Loss,0,-7
140,ASIA-PACIFIC P&C,2018,Non-Proportional Treaty Reinsurance,0,0
141,ASIA-PACIFIC P&C,2018,Proportional Treaty Reinsurance,0,0
142,ASIA-PACIFIC P&C,2018,Total,13301,6536
143,Generali,2018,Accident & Health,577163,572629
144,Generali,2018,Motor Vehicle,-118,-118
145,Generali,2018,Aircraft,0,0
146,Generali,2018,Ships,1864,1864
147,Generali,2018,Goods in Transit,12981,12981
148,Generali,2018,Property Damage,106934,99219
149,Generali,2018,Employees Compensation,71234,11753
150,Generali,2018,Owners Corporation Liability,0,0
151,Generali,2018,Other Business,17876,17691
152,Generali,2018,Pecuniary Loss,79863,79633
153,Generali,2018,Non-Proportional Treaty Reinsurance,0,0
154,Generali,2018,Proportional Treaty Reinsurance,0,0
155,Generali,2018,Total,867797,795652
156,Gard P&I,2018,Accident & Health,0,0
157,Gard P&I,2018,Motor Vehicle,0,0
158,Gard P&I,2018,Aircraft,0,0
159,Gard P&I,2018,Ships,119924,99003
160,Gard P&I,2018,Goods in Transit,0,0
161,Gard P&I,2018,Property Damage,0,0
162,Gard P&I,2018,Employees Compensation,0,0
163,Gard P&I,2018,Owners Corporation Liability,0,0
164,Gard P&I,2018,Other Business,0,0
165,Gard P&I,2018,Pecuniary Loss,0,0
166,Gard P&I,2018,Non-Proportional Treaty Reinsurance,0,0
167,Gard P&I,2018,Proportional Treaty Reinsurance,0,0
168,Gard P&I,2018,Total,119924,99003
169,Skuld,2018,Accident & Health,0,0
170,Skuld,2018,Motor Vehicle,0,0
171,Skuld,2018,Aircraft,0,0
172,Skuld,2018,Ships,78045,44563
173,Skuld,2018,Goods in Transit,0,0
174,Skuld,2018,Property Damage,0,0
175,Skuld,2018,Employees Compensation,0,0
176,Skuld,2018,Owners Corporation Liability,0,0
177,Skuld,2018,Other Business,0,0
178,Skuld,2018,Pecuniary Loss,0,0
179,Skuld,2018,Non-Proportional Treaty Reinsurance,0,0
180,Skuld,2018,Proportional Treaty Reinsurance,0,0
181,Skuld,2018,Total,78045,44563
182,ACyC,2018,Accident & Health,0,0
183,ACyC,2018,Motor Vehicle,0,0
184,ACyC,2018,Aircraft,0,0
185,ACyC,2018,Ships,0,0
186,ACyC,2018,Goods in Transit,0,0
187,ACyC,2018,Property Damage,0,0
188,ACyC,2018,Employees Compensation,0,0
189,ACyC,2018,Owners Corporation Liability,0,0
190,ACyC,2018,Other Business,0,0
191,ACyC,2018,Pecuniary Loss,27948,7173
192,ACyC,2018,Non-Proportional Treaty Reinsurance,0,0
193,ACyC,2018,Proportional Treaty Reinsurance,0,0
194,ACyC,2018,Total,27948,7173
195,AXA China (Bermuda),2018,Accident & Health,2,0
196,AXA China (Bermuda),2018,Motor Vehicle,1680,583
197,AXA China (Bermuda),2018,Aircraft,0,0
198,AXA China (Bermuda),2018,Ships,0,0
199,AXA China (Bermuda),2018,Goods in Transit,0,0
200,AXA China (Bermuda),2018,Property Damage,431,36
201,AXA China (Bermuda),2018,Employees Compensation,20199,12625
202,AXA China (Bermuda),2018,Owners Corporation Liability,0,0
203,AXA China (Bermuda),2018,Other Business,3367,3367
204,AXA China (Bermuda),2018,Pecuniary Loss,0,0
205,AXA China (Bermuda),2018,Non-Proportional Treaty Reinsurance,0,0
206,AXA China (Bermuda),2018,Proportional Treaty Reinsurance,0,0
207,AXA China (Bermuda),2018,Total,25679,16611
208,AXA China (HK),2018,Accident & Health,887285,581658
209,AXA China (HK),2018,Motor Vehicle,0,0
210,AXA China (HK),2018,Aircraft,0,0
211,AXA China (HK),2018,Ships,0,0
212,AXA China (HK),2018,Goods in Transit,0,0
213,AXA China (HK),2018,Property Damage,0,0
214,AXA China (HK),2018,Employees Compensation,0,0
215,AXA China (HK),2018,Owners Corporation Liability,0,0
216,AXA China (HK),2018,Other Business,0,0
217,AXA China (HK),2018,Pecuniary Loss,0,0
218,AXA China (HK),2018,Non-Proportional Treaty Reinsurance,0,0
219,AXA China (HK),2018,Proportional Treaty Reinsurance,0,0
220,AXA China (HK),2018,Total,887285,581658
221,AXA CS,2018,Accident & Health,0,0
222,AXA CS,2018,Motor Vehicle,0,0
223,AXA CS,2018,Aircraft,0,0
224,AXA CS,2018,Ships,36230,30628
225,AXA CS,2018,Goods in Transit,105669,64523
226,AXA CS,2018,Property Damage,24516,22688
227,AXA CS,2018,Employees Compensation,0,0
228,AXA CS,2018,Owners Corporation Liability,0,0
229,AXA CS,2018,Other Business,1058,146
230,AXA CS,2018,Pecuniary Loss,0,0
231,AXA CS,2018,Non-Proportional Treaty Reinsurance,0,0
232,AXA CS,2018,Proportional Treaty Reinsurance,0,0
233,AXA CS,2018,Total,167473,117985
234,AXA General,2018,Accident & Health,1449110,1038280
235,AXA General,2018,Motor Vehicle,281397,281397
236,AXA General,2018,Aircraft,0,0
237,AXA General,2018,Ships,14567,6757
238,AXA General,2018,Goods in Transit,24037,20087
239,AXA General,2018,Property Damage,224157,133950
240,AXA General,2018,Employees Compensation,274911,271121
241,AXA General,2018,Owners Corporation Liability,259,259
242,AXA General,2018,Other Business,63222,52230
243,AXA General,2018,Pecuniary Loss,4557,2249
244,AXA General,2018,Non-Proportional Treaty Reinsurance,0,0
245,AXA General,2018,Proportional Treaty Reinsurance,0,0
246,AXA General,2018,Total,2336217,1806330
247,AXA Life,2018,Accident & Health,0,0
248,AXA Life,2018,Motor Vehicle,0,0
249,AXA Life,2018,Aircraft,0,0
250,AXA Life,2018,Ships,0,0
251,AXA Life,2018,Goods in Transit,0,0
252,AXA Life,2018,Property Damage,0,0
253,AXA Life,2018,Employees Compensation,0,0
254,AXA Life,2018,Owners Corporation Liability,0,0
255,AXA Life,2018,Other Business,0,0
256,AXA Life,2018,Pecuniary Loss,0,0
257,AXA Life,2018,Non-Proportional Treaty Reinsurance,0,0
258,AXA Life,2018,Proportional Treaty Reinsurance,0,0
259,AXA Life,2018,Total,0,0
260,BOC Group Insurance,2018,Accident & Health,552041,389302
261,BOC Group Insurance,2018,Motor Vehicle,292812,227566
262,BOC Group Insurance,2018,Aircraft,1759,1758
263,BOC Group Insurance,2018,Ships,36118,22610
264,BOC Group Insurance,2018,Goods in Transit,6997,5642
265,BOC Group Insurance,2018,Property Damage,58590,17644
266,BOC Group Insurance,2018,Employees Compensation,299064,283578
267,BOC Group Insurance,2018,Owners Corporation Liability,52,52
268,BOC Group Insurance,2018,Other Business,26773,16413
269,BOC Group Insurance,2018,Pecuniary Loss,0,0
270,BOC Group Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
271,BOC Group Insurance,2018,Proportional Treaty Reinsurance,0,0
272,BOC Group Insurance,2018,Total,1274206,964565
273,BC Re,2018,Accident & Health,141,141
274,BC Re,2018,Motor Vehicle,4369,4369
275,BC Re,2018,Aircraft,0,0
276,BC Re,2018,Ships,0,0
277,BC Re,2018,Goods in Transit,135,73
278,BC Re,2018,Property Damage,6418,3643
279,BC Re,2018,Employees Compensation,0,0
280,BC Re,2018,Owners Corporation Liability,0,0
281,BC Re,2018,Other Business,8696,7158
282,BC Re,2018,Pecuniary Loss,0,0
283,BC Re,2018,Non-Proportional Treaty Reinsurance,14694,12092
284,BC Re,2018,Proportional Treaty Reinsurance,35522,29415
285,BC Re,2018,Total,69975,56891
286,BE Re,2018,Accident & Health,90,90
287,BE Re,2018,Motor Vehicle,813,813
288,BE Re,2018,Aircraft,0,0
289,BE Re,2018,Ships,0,0
290,BE Re,2018,Goods in Transit,0,0
291,BE Re,2018,Property Damage,5791,4303
292,BE Re,2018,Employees Compensation,0,0
293,BE Re,2018,Owners Corporation Liability,0,0
294,BE Re,2018,Other Business,1549,1549
295,BE Re,2018,Pecuniary Loss,0,0
296,BE Re,2018,Non-Proportional Treaty Reinsurance,8084,7714
297,BE Re,2018,Proportional Treaty Reinsurance,32761,28915
298,BE Re,2018,Total,49088,43384
299,Berkley Insurance,2018,Accident & Health,1691,1691
300,Berkley Insurance,2018,Motor Vehicle,203,203
301,Berkley Insurance,2018,Aircraft,0,0
302,Berkley Insurance,2018,Ships,256,86
303,Berkley Insurance,2018,Goods in Transit,7921,2636
304,Berkley Insurance,2018,Property Damage,2133,1538
305,Berkley Insurance,2018,Employees Compensation,0,0
306,Berkley Insurance,2018,Owners Corporation Liability,0,0
307,Berkley Insurance,2018,Other Business,6967,6967
308,Berkley Insurance,2018,Pecuniary Loss,60,60
309,Berkley Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
310,Berkley Insurance,2018,Proportional Treaty Reinsurance,0,0
311,Berkley Insurance,2018,Total,19231,13181
312,BHSI,2018,Accident & Health,20774,4155
313,BHSI,2018,Motor Vehicle,525,105
314,BHSI,2018,Aircraft,0,0
315,BHSI,2018,Ships,0,0
316,BHSI,2018,Goods in Transit,1191,238
317,BHSI,2018,Property Damage,29813,5962
318,BHSI,2018,Employees Compensation,44819,8964
319,BHSI,2018,Owners Corporation Liability,0,0
320,BHSI,2018,Other Business,874,174
321,BHSI,2018,Pecuniary Loss,2709,542
322,BHSI,2018,Non-Proportional Treaty Reinsurance,0,0
323,BHSI,2018,Proportional Treaty Reinsurance,0,0
324,BHSI,2018,Total,100705,20140
325,Blue Cross,2018,Accident & Health,862214,844283
326,Blue Cross,2018,Motor Vehicle,1021,101
327,Blue Cross,2018,Aircraft,0,0
328,Blue Cross,2018,Ships,0,0
329,Blue Cross,2018,Goods in Transit,13,1
330,Blue Cross,2018,Property Damage,16480,5563
331,Blue Cross,2018,Employees Compensation,20374,19005
332,Blue Cross,2018,Owners Corporation Liability,0,0
333,Blue Cross,2018,Other Business,10322,9840
334,Blue Cross,2018,Pecuniary Loss,4984,4957
335,Blue Cross,2018,Non-Proportional Treaty Reinsurance,0,0
336,Blue Cross,2018,Proportional Treaty Reinsurance,0,0
337,Blue Cross,2018,Total,915408,883750
338,Bupa,2018,Accident & Health,2457162,2118143
339,Bupa,2018,Motor Vehicle,0,0
340,Bupa,2018,Aircraft,0,0
341,Bupa,2018,Ships,0,0
342,Bupa,2018,Goods in Transit,0,0
343,Bupa,2018,Property Damage,0,0
344,Bupa,2018,Employees Compensation,0,0
345,Bupa,2018,Owners Corporation Liability,0,0
346,Bupa,2018,Other Business,0,0
347,Bupa,2018,Pecuniary Loss,0,0
348,Bupa,2018,Non-Proportional Treaty Reinsurance,0,0
349,Bupa,2018,Proportional Treaty Reinsurance,0,0
350,Bupa,2018,Total,2457162,2118143
351,California Insurance,2018,Accident & Health,2967,2925
352,California Insurance,2018,Motor Vehicle,842,842
353,California Insurance,2018,Aircraft,0,0
354,California Insurance,2018,Ships,0,0
355,California Insurance,2018,Goods in Transit,0,0
356,California Insurance,2018,Property Damage,61,29
357,California Insurance,2018,Employees Compensation,10396,9856
358,California Insurance,2018,Owners Corporation Liability,0,0
359,California Insurance,2018,Other Business,1380,11
360,California Insurance,2018,Pecuniary Loss,124,124
361,California Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
362,California Insurance,2018,Proportional Treaty Reinsurance,0,0
363,California Insurance,2018,Total,15770,13787
364,CGN Captive,2018,Accident & Health,0,0
365,CGN Captive,2018,Motor Vehicle,0,0
366,CGN Captive,2018,Aircraft,0,0
367,CGN Captive,2018,Ships,0,0
368,CGN Captive,2018,Goods in Transit,0,0
369,CGN Captive,2018,Property Damage,53,53
370,CGN Captive,2018,Employees Compensation,0,0
371,CGN Captive,2018,Owners Corporation Liability,0,0
372,CGN Captive,2018,Other Business,91,91
373,CGN Captive,2018,Pecuniary Loss,0,0
374,CGN Captive,2018,Non-Proportional Treaty Reinsurance,0,0
375,CGN Captive,2018,Proportional Treaty Reinsurance,0,0
376,CGN Captive,2018,Total,144,144
377,Chevalier,2018,Accident & Health,164,164
378,Chevalier,2018,Motor Vehicle,311,267
379,Chevalier,2018,Aircraft,0,0
380,Chevalier,2018,Ships,0,0
381,Chevalier,2018,Goods in Transit,379,114
382,Chevalier,2018,Property Damage,12332,12103
383,Chevalier,2018,Employees Compensation,77265,54905
384,Chevalier,2018,Owners Corporation Liability,0,0
385,Chevalier,2018,Other Business,9325,4896
386,Chevalier,2018,Pecuniary Loss,8,1
387,Chevalier,2018,Non-Proportional Treaty Reinsurance,0,0
388,Chevalier,2018,Proportional Treaty Reinsurance,0,0
389,Chevalier,2018,Total,99784,72450
390,China BOCOM,2018,Accident & Health,31725,1036
391,China BOCOM,2018,Motor Vehicle,555,309
392,China BOCOM,2018,Aircraft,0,0
393,China BOCOM,2018,Ships,114,0
394,China BOCOM,2018,Goods in Transit,6,0
395,China BOCOM,2018,Property Damage,28205,1904
396,China BOCOM,2018,Employees Compensation,11080,5234
397,China BOCOM,2018,Owners Corporation Liability,3,0
398,China BOCOM,2018,Other Business,21151,2861
399,China BOCOM,2018,Pecuniary Loss,3,-2
400,China BOCOM,2018,Non-Proportional Treaty Reinsurance,0,0
401,China BOCOM,2018,Proportional Treaty Reinsurance,0,0
402,China BOCOM,2018,Total,92842,11342
403,China Merchants,2018,Accident & Health,16414,16339
404,China Merchants,2018,Motor Vehicle,7630,7630
405,China Merchants,2018,Aircraft,0,0
406,China Merchants,2018,Ships,1801,368
407,China Merchants,2018,Goods in Transit,3283,1885
408,China Merchants,2018,Property Damage,3563,1786
409,China Merchants,2018,Employees Compensation,8854,8821
410,China Merchants,2018,Owners Corporation Liability,11,11
411,China Merchants,2018,Other Business,990,990
412,China Merchants,2018,Pecuniary Loss,0,0
413,China Merchants,2018,Non-Proportional Treaty Reinsurance,0,0
414,China Merchants,2018,Proportional Treaty Reinsurance,0,0
415,China Merchants,2018,Total,42546,37830
416,China Overseas Insurance,2018,Accident & Health,0,0
417,China Overseas Insurance,2018,Motor Vehicle,576,475
418,China Overseas Insurance,2018,Aircraft,0,0
419,China Overseas Insurance,2018,Ships,0,0
420,China Overseas Insurance,2018,Goods in Transit,0,0
421,China Overseas Insurance,2018,Property Damage,58991,97
422,China Overseas Insurance,2018,Employees Compensation,155395,139735
423,China Overseas Insurance,2018,Owners Corporation Liability,0,0
424,China Overseas Insurance,2018,Other Business,2790,130
425,China Overseas Insurance,2018,Pecuniary Loss,0,0
426,China Overseas Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
427,China Overseas Insurance,2018,Proportional Treaty Reinsurance,0,0
428,China Overseas Insurance,2018,Total,217752,140437
429,China Pacific,2018,Accident & Health,388,299
430,China Pacific,2018,Motor Vehicle,23608,17446
431,China Pacific,2018,Aircraft,9970,2051
432,China Pacific,2018,Ships,3571,3571
433,China Pacific,2018,Goods in Transit,0,0
434,China Pacific,2018,Property Damage,24699,4784
435,China Pacific,2018,Employees Compensation,3497,2721
436,China Pacific,2018,Owners Corporation Liability,71,11
437,China Pacific,2018,Other Business,10452,913
438,China Pacific,2018,Pecuniary Loss,1,0
439,China Pacific,2018,Non-Proportional Treaty Reinsurance,0,0
440,China Pacific,2018,Proportional Treaty Reinsurance,0,0
441,China Pacific,2018,Total,76257,31796
442,China Ping An,2018,Accident & Health,1067,713
443,China Ping An,2018,Motor Vehicle,105561,80642
444,China Ping An,2018,Aircraft,0,0
445,China Ping An,2018,Ships,1052,53
446,China Ping An,2018,Goods in Transit,3137,13
447,China Ping An,2018,Property Damage,37027,5764
448,China Ping An,2018,Employees Compensation,19162,18860
449,China Ping An,2018,Owners Corporation Liability,176,176
450,China Ping An,2018,Other Business,26473,9456
451,China Ping An,2018,Pecuniary Loss,0,0
452,China Ping An,2018,Non-Proportional Treaty Reinsurance,0,0
453,China Ping An,2018,Proportional Treaty Reinsurance,0,0
454,China Ping An,2018,Total,193655,115677
455,CTPI(HK),2018,Accident & Health,897251,889216
456,CTPI(HK),2018,Motor Vehicle,803432,699596
457,CTPI(HK),2018,Aircraft,74718,4025
458,CTPI(HK),2018,Ships,133059,59006
459,CTPI(HK),2018,Goods in Transit,12315,2992
460,CTPI(HK),2018,Property Damage,253741,21752
461,CTPI(HK),2018,Employees Compensation,214493,191276
462,CTPI(HK),2018,Owners Corporation Liability,848,848
463,CTPI(HK),2018,Other Business,28119,18089
464,CTPI(HK),2018,Pecuniary Loss,3490,3490
465,CTPI(HK),2018,Non-Proportional Treaty Reinsurance,0,0
466,CTPI(HK),2018,Proportional Treaty Reinsurance,0,0
467,CTPI(HK),2018,Total,2421466,1890290
468,Chong Hing,2018,Accident & Health,315,261
469,Chong Hing,2018,Motor Vehicle,2833,2766
470,Chong Hing,2018,Aircraft,0,0
471,Chong Hing,2018,Ships,5,5
472,Chong Hing,2018,Goods in Transit,33,33
473,Chong Hing,2018,Property Damage,3971,2458
474,Chong Hing,2018,Employees Compensation,12504,12288
475,Chong Hing,2018,Owners Corporation Liability,0,0
476,Chong Hing,2018,Other Business,2027,2027
477,Chong Hing,2018,Pecuniary Loss,0,0
478,Chong Hing,2018,Non-Proportional Treaty Reinsurance,0,0
479,Chong Hing,2018,Proportional Treaty Reinsurance,0,0
480,Chong Hing,2018,Total,21688,19838
481,Chubb Insurance,2018,Accident & Health,90758,30092
482,Chubb Insurance,2018,Motor Vehicle,2,2
483,Chubb Insurance,2018,Aircraft,0,0
484,Chubb Insurance,2018,Ships,12019,8040
485,Chubb Insurance,2018,Goods in Transit,36467,20632
486,Chubb Insurance,2018,Property Damage,383078,25777
487,Chubb Insurance,2018,Employees Compensation,47839,37407
488,Chubb Insurance,2018,Owners Corporation Liability,1,1
489,Chubb Insurance,2018,Other Business,236617,153759
490,Chubb Insurance,2018,Pecuniary Loss,0,0
491,Chubb Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
492,Chubb Insurance,2018,Proportional Treaty Reinsurance,0,0
493,Chubb Insurance,2018,Total,806781,275710
494,CIGNA Worldwide General,2018,Accident & Health,515768,508655
495,CIGNA Worldwide General,2018,Motor Vehicle,0,0
496,CIGNA Worldwide General,2018,Aircraft,0,0
497,CIGNA Worldwide General,2018,Ships,0,0
498,CIGNA Worldwide General,2018,Goods in Transit,0,0
499,CIGNA Worldwide General,2018,Property Damage,0,0
500,CIGNA Worldwide General,2018,Employees Compensation,0,0
501,CIGNA Worldwide General,2018,Owners Corporation Liability,0,0
502,CIGNA Worldwide General,2018,Other Business,0,0
503,CIGNA Worldwide General,2018,Pecuniary Loss,0,0
504,CIGNA Worldwide General,2018,Non-Proportional Treaty Reinsurance,0,0
505,CIGNA Worldwide General,2018,Proportional Treaty Reinsurance,0,0
506,CIGNA Worldwide General,2018,Total,515768,508655
507,CMBWL,2018,Accident & Health,11620,10834
508,CMBWL,2018,Motor Vehicle,88394,65782
509,CMBWL,2018,Aircraft,0,0
510,CMBWL,2018,Ships,5327,759
511,CMBWL,2018,Goods in Transit,40,31
512,CMBWL,2018,Property Damage,12943,6220
513,CMBWL,2018,Employees Compensation,209904,193818
514,CMBWL,2018,Owners Corporation Liability,29,9
515,CMBWL,2018,Other Business,8498,7667
516,CMBWL,2018,Pecuniary Loss,13,3
517,CMBWL,2018,Non-Proportional Treaty Reinsurance,0,0
518,CMBWL,2018,Proportional Treaty Reinsurance,0,0
519,CMBWL,2018,Total,336768,285123
520,CNOOC Insurance,2018,Accident & Health,0,0
521,CNOOC Insurance,2018,Motor Vehicle,0,0
522,CNOOC Insurance,2018,Aircraft,0,0
523,CNOOC Insurance,2018,Ships,24153,5652
524,CNOOC Insurance,2018,Goods in Transit,0,0
525,CNOOC Insurance,2018,Property Damage,172460,33576
526,CNOOC Insurance,2018,Employees Compensation,0,0
527,CNOOC Insurance,2018,Owners Corporation Liability,0,0
528,CNOOC Insurance,2018,Other Business,0,0
529,CNOOC Insurance,2018,Pecuniary Loss,0,0
530,CNOOC Insurance,2018,Non-Proportional Treaty Reinsurance,0,0
531,CNOOC Insurance,2018,Proportional Treaty Reinsurance,0,0
532,CNOOC Insurance,2018,Total,196613,39228
533,COFACE,2018,Accident & Health,0,0
534,COFACE,2018,Motor Vehicle,0,0
535,COFACE,2018,Aircraft,0,0
536,COFACE,2018,Ships,0,0
537,COFACE,2018,Goods in Transit,0,0
538,COFACE,2018,Property Damage,0,0
539,COFACE,2018,Employees Compensation,0,0
540,COFACE,2018,Owners Corporation Liability,0,0
541,COFACE,2018,Other Business,0,0
542,COFACE,2018,Pecuniary Loss,209244,105692
543,COFACE,2018,Non-Proportional Treaty Reinsurance,0,0
544,COFACE,2018,Proportional Treaty Reinsurance,0,0
545,COFACE,2018,Total,209244,105692
546,Concord,2018,Accident & Health,215,215
547,Concord,2018,Motor Vehicle,213,213
548,Concord,2018,Aircraft,0,0
549,Concord,2018,Ships,327,227
550,Concord,2018,Goods in Transit,124,19
